_id,approvedDate,approverId,comment,employeeId,endDate,leaveTypeId,reason,requestedDate,startDate,status,totalDays
69c84585c64092772f1fe1fd,2026-03-28 21:18:28.484000,6977294f0c6001df4bf44c9a,Approved by HR,69c84506c64092772f1fe1f1,2026-04-02 00:00:00,69779726b7473577ad7f0233,ไก่,2026-03-28 21:17:57.508000,2026-04-01 00:00:00,Approved,2
69c9514010055fa5e7fb83c5,,,,69c947fe89315d51bac071d7,2026-03-30 00:00:00,69779726b7473577ad7f0233,ปวดท้อง อาหารเป็นพิษ,2026-03-29 16:20:16.255000,2026-03-30 00:00:00,Pending,1
69c968b9d974f49d21cbd662,2026-03-29 21:25:18.979000,69c997f94f15ddb1a957ece4,Approved by Manager,69c92d8d276895ddbb195916,2026-04-03 00:00:00,69779726b7473577ad7f0233,เย้,2026-03-29 18:00:25.117000,2026-04-01 00:00:00,Approved,3
69c96eead974f49d21cbd664,,,,69c933c85b6a4f39f72318e3,2026-04-04 00:00:00,69779726b7473577ad7f0233,ไข้ขึ้น,2026-03-29 18:26:50.874000,2026-04-02 00:00:00,Pending,3
69c9946a4f15ddb1a957ecd2,2026-03-29 21:16:35.288000,69c996854f15ddb1a957ecd4,Approved by Manager,69c993e94f15ddb1a957eccb,2026-04-30 00:00:00,69779726b7473577ad7f0233,ลาป่วยเกิน30วัน,2026-03-29 21:06:50.484000,2026-04-01 00:00:00,Approved,30
69c998884f15ddb1a957eceb,2026-03-29 21:38:37.010000,69c997f94f15ddb1a957ece4,ลาเกิน 10วันต่อครั้ง,69c997d34f15ddb1a957ecdd,2026-04-18 00:00:00,69783bc5111b105aeac97906,ลาไม่รับเงินเดือน,2026-03-29 21:24:24.288000,2026-04-08 00:00:00,Rejected,11
69c99c294f15ddb1a957ecf1,2026-03-29 21:40:57.615000,69c997f94f15ddb1a957ece4,Approved by Manager,69c997d34f15ddb1a957ecdd,2026-04-16 00:00:00,69783bc5111b105aeac97906,ลาไม่รับเงินเดือน ,2026-03-29 21:39:53.938000,2026-04-08 00:00:00,Approved,9
69c99c4c4f15ddb1a957ecf3,,,,69c92d8d276895ddbb195916,2026-04-12 00:00:00,69779726b7473577ad7f0233,ท้องเสีย,2026-03-29 21:40:28.005000,2026-04-11 00:00:00,Pending,2
69c9a01e4f15ddb1a957ed05,2026-03-29 21:57:19.499000,69c99e914f15ddb1a957ecfe,Approved by Manager,69c99e6f4f15ddb1a957ecf7,2026-05-09 00:00:00,69783baa111b105aeac97905,ลาบวชระยะสั้น,2026-03-29 21:56:46.804000,2026-05-06 00:00:00,Approved,4
69c9da72722973a020400829,2026-03-30 02:07:43.661000,69c947fe89315d51bac071d7,Approved by Manager,69c92d8d276895ddbb195916,2026-03-31 00:00:00,69779726b7473577ad7f0233,ลาป่วย ปวดหัวตัวร้อน,2026-03-30 02:05:38.551000,2026-03-31 00:00:00,Approved,1
69c9dc5c722973a02040082e,,,,69c947fe89315d51bac071d7,2026-04-04 00:00:00,69783ac8111b105aeac97904,ลากิจ,2026-03-30 02:13:48.452000,2026-04-02 00:00:00,Pending,3
69cb2f5d233146f06c318417,2026-03-31 02:21:55.176000,69c996854f15ddb1a957ecd4,Approved by Manager,69c993e94f15ddb1a957eccb,2026-05-02 00:00:00,69783ac8111b105aeac97904,ลาไปทำธุระ,2026-03-31 02:20:13.870000,2026-05-01 00:00:00,Approved,2
69cb3425233146f06c31841c,2026-03-31 02:46:13.244000,69c996854f15ddb1a957ecd4,มีโปรเจคเร่งด่วน,69c993e94f15ddb1a957eccb,2026-06-13 00:00:00,69783baa111b105aeac97905,ลาบวช,2026-03-31 02:40:37.466000,2026-06-10 00:00:00,Rejected,4
